Fecha	BM
20-09-13	325233
23-09-13	321927
24-09-13	321744
25-09-13	323056
26-09-13	324612
27-09-13	329860
30-09-13	327433
1-10-13	337997
2-10-13	338653
3-10-13	338979
4-10-13	340778
7-10-13	340854
8-10-13	341211
9-10-13	339475
10-10-13	340714
11-10-13	337941
15-10-13	337381
16-10-13	336164
17-10-13	335885
18-10-13	335247
21-10-13	331981
22-10-13	332484
23-10-13	333496
24-10-13	337102
25-10-13	329801
28-10-13	324766
29-10-13	319710
30-10-13	324521
31-10-13	326803
1-11-13	342132
4-11-13	340503
5-11-13	342621
7-11-13	343208
8-11-13	341477
11-11-13	340439
12-11-13	338405
13-11-13	338681
14-11-13	340467
15-11-13	338477
18-11-13	338026
19-11-13	335229
20-11-13	334520
21-11-13	336648
22-11-13	334781
26-11-13	332965
27-11-13	332866
28-11-13	334025
29-11-13	336846
2-12-13	351871
3-12-13	352022
4-12-13	353834
5-12-13	363941
6-12-13	353762
9-12-13	353725
10-12-13	353239
11-12-13	354969
12-12-13	370183
13-12-13	356104
16-12-13	355803
17-12-13	355936
18-12-13	357772
19-12-13	373960
20-12-13	365189
23-12-13	365062
26-12-13	378259
27-12-13	374056
30-12-13	377197
2-01-14	378160
3-01-14	376497
6-01-14	375463
7-01-14	374165
8-01-14	371632
9-01-14	374042
10-01-14	375046
13-01-14	374738
14-01-14	375069
15-01-14	371442
16-01-14	367299
17-01-14	366454
20-01-14	365243
21-01-14	364442
22-01-14	360433
23-01-14	360573
24-01-14	356532
27-01-14	353732
28-01-14	357207
29-01-14	362576
30-01-14	364446
31-01-14	363858
3-02-14	360675
4-02-14	358249
5-02-14	349439
6-02-14	351111
7-02-14	349349
10-02-14	346753
11-02-14	346799
12-02-14	352232
13-02-14	353193
14-02-14	352477
17-02-14	346492
18-02-14	346088
19-02-14	342593
20-02-14	345197
21-02-14	338736
24-02-14	340018
25-02-14	330477
26-02-14	339737
27-02-14	332515
28-02-14	344819
5-03-14	349361
6-03-14	351175
7-03-14	353422
10-03-14	354642
11-03-14	354166
12-03-14	353941
13-03-14	355677
14-03-14	357331
17-03-14	354661
18-03-14	353961
19-03-14	354150
20-03-14	353237
21-03-14	352543
25-03-14	347238
26-03-14	346514
27-03-14	344820
28-03-14	349184
31-03-14	349029
1-04-14	363756
3-04-14	359207
4-04-14	359061
7-04-14	360888
8-04-14	364627
9-04-14	360894
10-04-14	361883
11-04-14	361521
14-04-14	360819
15-04-14	364623
16-04-14	359004
21-04-14	352502
22-04-14	350943
23-04-14	343165
24-04-14	345102
25-04-14	334778
28-04-14	329226
29-04-14	330447
30-04-14	352163
5-05-14	359549
6-05-14	360311
7-05-14	360459
8-05-14	362551
9-05-14	362226
12-05-14	361342
13-05-14	363009
14-05-14	357519
15-05-14	355540
16-05-14	353321
19-05-14	351509
20-05-14	350160
21-05-14	354183
22-05-14	355719
23-05-14	344832
26-05-14	338075
27-05-14	345881
28-05-14	346224
29-05-14	342952
30-05-14	348928
2-06-14	365594
3-06-14	366652
4-06-14	370209
5-06-14	369670
6-06-14	364532
9-06-14	370489
10-06-14	371807
11-06-14	372553
12-06-14	376811
13-06-14	365174
16-06-14	359416
17-06-14	360009
18-06-14	362574
19-06-14	362286
23-06-14	363226
24-06-14	362991
25-06-14	365588
26-06-14	372616
27-06-14	370707
30-06-14	370611
1-07-14	382719
2-07-14	385700
3-07-14	393232
4-07-14	393392
7-07-14	394783
8-07-14	395724
10-07-14	391980
11-07-14	390326
14-07-14	391960
15-07-14	391644
16-07-14	388928
17-07-14	381303
18-07-14	380904
21-07-14	381109
22-07-14	377868
23-07-14	380694
24-07-14	376348
25-07-14	372437
28-07-14	369127
29-07-14	370496
30-07-14	370067
31-07-14	371689
1-08-14	389897
4-08-14	389441
5-08-14	389325
6-08-14	387128
7-08-14	387901
8-08-14	389667
11-08-14	387822
12-08-14	392732
13-08-14	393385
14-08-14	391905
15-08-14	391070
19-08-14	394347
20-08-14	389970
21-08-14	396753
22-08-14	396608
25-08-14	393013
26-08-14	393358
27-08-14	387972
28-08-14	385478
29-08-14	389193
1-09-14	405966
2-09-14	406699
3-09-14	404958
4-09-14	407032
5-09-14	406292
8-09-14	405704
9-09-14	400542
10-09-14	395835
11-09-14	401958
12-09-14	402105
15-09-14	400662
16-09-14	399289
17-09-14	390549
18-09-14	386094
19-09-14	384467
22-09-14	385343
23-09-14	385881
24-09-14	386713
25-09-14	390326
26-09-14	388203
29-09-14	388137
30-09-14	382315
1-10-14	412070
2-10-14	406542
3-10-14	406013
6-10-14	404747
7-10-14	407712
8-10-14	405670
9-10-14	405355
10-10-14	404808
14-10-14	407122
15-10-14	405777
16-10-14	408200
17-10-14	407535
20-10-14	406660
21-10-14	398281
22-10-14	396663
23-10-14	396113
24-10-14	388523
27-10-14	383094
28-10-14	384187
29-10-14	386010
30-10-14	387974
31-10-14	407437
3-11-14	413948
4-11-14	413963
5-11-14	416246
7-11-14	417909
10-11-14	419121
11-11-14	416612
12-11-14	414850
13-11-14	413686
14-11-14	407488
17-11-14	405543
18-11-14	405503
19-11-14	402473
20-11-14	396867
21-11-14	393770
25-11-14	406794
26-11-14	405951
27-11-14	393588
28-11-14	409124
1-12-14	434222
2-12-14	437391
3-12-14	437124
4-12-14	433521
5-12-14	433915
9-12-14	432324
10-12-14	427035
11-12-14	435026
12-12-14	423742
15-12-14	433948
16-12-14	443259
17-12-14	447690
18-12-14	450631
19-12-14	455507
22-12-14	456595
23-12-14	447979
24-12-14	447363
29-12-14	476590
30-12-14	462564
2-01-15	465862
5-01-15	464979
6-01-15	465009
7-01-15	458744
8-01-15	460792
9-01-15	461756
12-01-15	462993
13-01-15	464814
14-01-15	455111
15-01-15	455138
16-01-15	452796
19-01-15	452787
20-01-15	454622
21-01-15	442811
22-01-15	442490
23-01-15	444315
26-01-15	438132
27-01-15	439588
28-01-15	437772
29-01-15	444735
30-01-15	447994
2-02-15	449385
3-02-15	445948
4-02-15	449755
5-02-15	451959
6-02-15	452703
9-02-15	454037
10-02-15	455888
11-02-15	449466
12-02-15	446354
13-02-15	450278
18-02-15	453574
19-02-15	451911
20-02-15	455937
23-02-15	453277
24-02-15	449349
25-02-15	445834
26-02-15	443895
27-02-15	446408
2-03-15	457557
3-03-15	457184
4-03-15	453439
5-03-15	450920
6-03-15	448451
9-03-15	454075
10-03-15	454302
11-03-15	451282
12-03-15	454513
13-03-15	452219
16-03-15	458035
17-03-15	454866
18-03-15	455975
19-03-15	456518
20-03-15	460842
25-03-15	464287
26-03-15	444499
27-03-15	444973
30-03-15	449673
31-03-15	440354
1-04-15	466366
6-04-15	459867
7-04-15	459329
8-04-15	458970
9-04-15	462889
10-04-15	463003
13-04-15	463080
14-04-15	460323
15-04-15	462579
16-04-15	463328
17-04-15	457377
20-04-15	455503
21-04-15	454392
22-04-15	449304
23-04-15	450064
24-04-15	452526
27-04-15	445792
28-04-15	442412
29-04-15	432978
30-04-15	469092
4-05-15	471050
5-05-15	468356
6-05-15	465817
7-05-15	465781
8-05-15	469750
11-05-15	475899
12-05-15	477229
13-05-15	474127
14-05-15	471670
15-05-15	470377
18-05-15	470126
19-05-15	467593
20-05-15	467835
21-05-15	462520
22-05-15	465655
26-05-15	465313
27-05-15	469308
28-05-15	462384
29-05-15	462103
1-06-15	478884
2-06-15	481242
3-06-15	475267
4-06-15	484756
5-06-15	482914
8-06-15	491339
9-06-15	490976
10-06-15	495431
11-06-15	504476
12-06-15	501449
15-06-15	502114
16-06-15	499099
17-06-15	489680
18-06-15	486586
19-06-15	481480
22-06-15	480254
23-06-15	483602
24-06-15	487533
25-06-15	481342
26-06-15	487884
29-06-15	484994
30-06-15	482719
1-07-15	500331
2-07-15	504672
3-07-15	510594
6-07-15	509609
7-07-15	513816
8-07-15	514868
10-07-15	517781
13-07-15	515800
14-07-15	517340
15-07-15	516479
16-07-15	515561
17-07-15	518121
20-07-15	528049
21-07-15	531382
22-07-15	532919
23-07-15	533181
24-07-15	519403
27-07-15	517285
28-07-15	521573
29-07-15	515123
30-07-15	507309
31-07-15	520170
3-08-15	531539
4-08-15	540908
5-08-15	536010
6-08-15	533181
7-08-15	531891
10-08-15	533763
11-08-15	536767
12-08-15	531806
13-08-15	531306
14-08-15	532662
18-08-15	527996
19-08-15	530790
20-08-15	522124
21-08-15	519869
24-08-15	516918
25-08-15	519732
26-08-15	517694
27-08-15	515377
28-08-15	525086
31-08-15	509258
1-09-15	532787
2-09-15	531425
3-09-15	530974
4-09-15	534586
7-09-15	534713
8-09-15	532247
9-09-15	532427
10-09-15	535164
11-09-15	542568
14-09-15	538372
15-09-15	538686
16-09-15	535598
17-09-15	531919
18-09-15	533275
21-09-15	531529
22-09-15	535125
23-09-15	530225
24-09-15	531047
25-09-15	527592
28-09-15	520067
29-09-15	534074
30-09-15	530134
1-10-15	541547
2-10-15	539362
5-10-15	546926
6-10-15	546202
7-10-15	547052
8-10-15	547386
9-10-15	545767
13-10-15	547021
14-10-15	542237
15-10-15	551862
16-10-15	550024
19-10-15	547101
20-10-15	550690
21-10-15	546567
22-10-15	548448
23-10-15	546397
26-10-15	542948
27-10-15	541247
28-10-15	532436
29-10-15	525726
30-10-15	543201
2-11-15	561158
3-11-15	560592
4-11-15	563935
5-11-15	567390
9-11-15	568409
10-11-15	569809
11-11-15	573043
12-11-15	562438
13-11-15	567972
16-11-15	569391
17-11-15	568050
18-11-15	557773
19-11-15	552367
20-11-15	546172
23-11-15	554954
24-11-15	552876
25-11-15	549976
26-11-15	558482
30-11-15	536761
1-12-15	611050
2-12-15	610862
3-12-15	618454
4-12-15	612316
9-12-15	629249
10-12-15	621978
11-12-15	617257
14-12-15	616654
15-12-15	612401
16-12-15	605974
17-12-15	630771
18-12-15	629444
21-12-15	638629
22-12-15	640007
23-12-15	633578
24-12-15	631161
28-12-15	629210
29-12-15	632065
30-12-15	609041
31-12-15	623890
4-01-16	620295
5-01-16	622069
6-01-16	604698
7-01-16	606740
8-01-16	612384
11-01-16	620606
12-01-16	620175
13-01-16	602523
14-01-16	602907
15-01-16	600995
18-01-16	589318
19-01-16	589939
20-01-16	590418
21-01-16	593241
22-01-16	593175
25-01-16	592091
26-01-16	597693
27-01-16	590720
28-01-16	590941
29-01-16	588333
1-02-16	587033
2-02-16	587138
3-02-16	582437
4-02-16	574930
5-02-16	569553
10-02-16	563700
11-02-16	572531
12-02-16	573092
15-02-16	574740
16-02-16	561919
17-02-16	552244
18-02-16	550150
19-02-16	550280
22-02-16	547444
23-02-16	550207
24-02-16	552511
25-02-16	552589
26-02-16	551246
29-02-16	559138
1-03-16	579176
2-03-16	589728
3-03-16	597517
4-03-16	593553
7-03-16	593432
8-03-16	591156
9-03-16	589894
10-03-16	588177
11-03-16	583729
14-03-16	574749
15-03-16	573034
16-03-16	580701
17-03-16	588153
18-03-16	589100
21-03-16	591208
22-03-16	582786
23-03-16	594243
28-03-16	583947
29-03-16	583287
30-03-16	562928
31-03-16	573019
1-04-16	610011
4-04-16	604923
5-04-16	600988
6-04-16	588475
7-04-16	590235
8-04-16	583523
11-04-16	583909
12-04-16	586152
13-04-16	586847
14-04-16	588046
15-04-16	578466
18-04-16	572381
19-04-16	580944
20-04-16	579752
21-04-16	565975
22-04-16	565377
25-04-16	564569
26-04-16	569999
27-04-16	576339
28-04-16	572872
29-04-16	572568
2-05-16	598835
3-05-16	596967
4-05-16	599080
5-05-16	599385
6-05-16	592367
9-05-16	599227
10-05-16	589246
11-05-16	589942
